Player,Position,General_Position,Games_Played,Games_Started,Games_Missed,Minutes,FG,FGA,FG%,3P,3PA,3P%,FT,FTA,FT%,REB,AST,STL,BLK,TOV,PTS,Season
Lonzo Ball,PG,G,45,45,14,31.05,5.0,12.1,0.416,3.0,7.9,0.376,0.8,1.1,0.792,4.2,5.7,1.4,0.6,2.0,13.8,2020-2021
Mo Bamba,C,C,35,1,24,13.07,2.7,5.8,0.475,0.8,2.3,0.354,0.7,1.0,0.639,4.7,0.5,0.2,1.0,0.7,6.9,2020-2021
Desmond Bane,SG,G,54,12,4,22.16,3.5,7.3,0.475,1.8,3.8,0.459,0.6,0.8,0.833,3.0,1.7,0.6,0.2,0.9,9.4,2020-2021
Harrison Barnes,PF,F,56,56,3,36.4,5.4,11.0,0.494,1.6,4.3,0.379,3.4,4.1,0.827,6.6,3.5,0.8,0.2,1.6,15.9,2020-2021
RJ Barrett,SG,G,60,60,0,34.32,6.5,14.6,0.446,1.5,3.9,0.386,2.9,3.9,0.74,5.6,2.9,0.8,0.3,2.0,17.4,2020-2021
Will Barton,SF,F,56,52,3,31.0,4.6,10.9,0.426,1.8,4.6,0.381,1.7,2.2,0.785,4.0,3.2,0.9,0.4,1.7,12.7,2020-2021
Keita Bates-Diop,SF,F,21,0,37,7.09,0.8,2.0,0.381,0.2,0.7,0.333,0.5,0.7,0.733,1.2,0.4,0.4,0.1,0.1,2.3,2020-2021
Nicolas Batum,SF,F,58,38,4,28.42,2.9,6.4,0.458,1.7,4.2,0.406,0.8,0.9,0.846,4.9,2.4,1.1,0.6,0.9,8.3,2020-2021
Aron Baynes,C,C,50,31,9,18.25,2.4,5.6,0.431,0.4,1.9,0.237,0.5,0.7,0.73,5.1,0.9,0.3,0.4,0.9,5.8,2020-2021
Kent Bazemore,SF,F,57,8,3,18.1,2.4,5.4,0.448,1.1,2.5,0.417,0.8,1.1,0.692,3.1,1.6,1.0,0.5,1.2,6.7,2020-2021
Darius Bazley,PF,F,44,44,16,31.16,4.8,12.1,0.401,1.5,5.3,0.289,2.0,2.8,0.719,7.4,1.5,0.6,0.5,2.0,13.2,2020-2021
Bradley Beal,SG,G,50,50,9,35.46,10.9,22.6,0.483,2.2,6.4,0.349,7.0,7.8,0.9,4.8,4.7,1.2,0.4,3.3,31.1,2020-2021
Malik Beasley,SG,G,37,36,23,32.81,7.1,16.2,0.44,3.5,8.7,0.399,1.8,2.2,0.85,4.4,2.4,0.8,0.2,1.6,19.6,2020-2021
Jordan Bell,C,C,5,1,5,13.44,1.4,4.0,0.35,0.0,0.4,0.0,0.0,0.0,0.0,3.8,1.0,0.6,0.6,0.6,2.8,2020-2021
DeAndre' Bembry,SF,F,39,11,20,18.13,2.1,3.9,0.533,0.2,0.8,0.273,0.8,1.1,0.698,2.7,2.0,0.8,0.4,1.3,5.2,2020-2021
Davis Bertans,PF,F,44,5,15,24.62,3.4,8.3,0.413,3.0,7.5,0.407,1.8,2.0,0.885,3.0,0.9,0.6,0.2,0.6,11.7,2020-2021
Patrick Beverley,PG,G,31,31,31,23.42,2.6,6.1,0.432,1.7,4.0,0.416,1.1,1.3,0.805,3.6,2.1,0.8,0.8,0.9,8.0,2020-2021
Saddiq Bey,SF,F,58,41,2,25.86,3.7,9.0,0.41,2.3,6.2,0.381,1.6,1.9,0.872,4.1,1.2,0.7,0.1,0.8,11.4,2020-2021
Tyler Bey,SF,F,11,0,47,3.49,0.4,1.1,0.333,0.0,0.1,0.0,0.2,0.4,0.5,1.2,0.1,0.0,0.1,0.0,0.9,2020-2021
Khem Birch,C,C,54,9,3,20.43,2.1,4.6,0.462,0.1,0.5,0.259,1.3,1.8,0.724,5.2,1.1,0.7,0.7,0.5,5.7,2020-2021
Goga Bitadze,C,C,37,2,21,11.32,1.9,4.1,0.458,0.4,1.5,0.268,0.9,1.2,0.756,3.2,0.7,0.2,1.2,0.4,5.1,2020-2021
Bismack Biyombo,C,C,53,30,6,20.88,2.2,3.9,0.571,0.0,0.0,0.0,0.8,1.7,0.478,5.3,1.3,0.3,1.1,1.0,5.2,2020-2021
Nemanja Bjelica,PF,F,34,1,25,15.46,2.3,5.1,0.448,0.6,2.2,0.27,1.0,1.3,0.733,3.4,1.7,0.3,0.1,0.9,6.1,2020-2021
Eric Bledsoe,SG,G,58,57,1,29.97,4.1,10.1,0.41,1.8,5.2,0.355,1.8,2.4,0.734,3.4,3.7,0.7,0.3,1.6,11.9,2020-2021
Keljin Blevins,SF,F,10,0,49,5.06,0.2,1.4,0.143,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.4,0.2,0.0,0.3,0.4,2020-2021
Bogdan Bogdanovic,SG,G,35,18,25,28.57,5.5,12.0,0.455,2.9,7.0,0.418,0.9,1.0,0.912,3.7,3.2,0.9,0.3,1.2,14.7,2020-2021
Bojan Bogdanovic,SF,F,59,59,0,30.47,5.1,12.0,0.421,2.4,6.3,0.382,2.9,3.4,0.874,3.9,1.9,0.6,0.1,1.5,15.5,2020-2021
Bol Bol,PF,F,25,2,34,4.84,0.9,1.7,0.512,0.4,0.8,0.474,0.3,0.5,0.583,0.7,0.3,0.1,0.4,0.4,2.4,2020-2021
Marques Bolden,C,C,6,0,26,4.77,0.2,0.5,0.333,0.0,0.0,0.0,0.8,1.3,0.625,1.0,0.0,0.3,0.3,0.3,1.2,2020-2021
Jordan Bone,PG,G,14,0,8,13.99,1.6,3.9,0.426,0.7,2.3,0.312,0.0,0.0,0.0,1.7,1.3,0.1,0.0,0.2,4.0,2020-2021
Isaac Bonga,SF,F,37,8,22,11.3,0.8,2.1,0.385,0.4,1.2,0.283,0.1,0.2,0.625,1.8,0.6,0.3,0.2,0.6,2.1,2020-2021
Devin Booker,SG,G,55,55,4,33.57,9.2,19.1,0.482,1.9,5.7,0.342,4.8,5.6,0.86,4.2,4.5,0.9,0.3,3.2,25.1,2020-2021
Chris Boucher,C,C,59,13,0,23.99,4.8,9.2,0.519,1.5,3.8,0.389,2.5,3.2,0.787,6.7,1.1,0.6,1.9,0.8,13.6,2020-2021
Brian Bowen,SF,F,6,0,52,2.48,0.2,0.7,0.25,0.0,0.2,0.0,0.2,0.2,1.0,0.5,0.0,0.0,0.0,0.0,0.5,2020-2021
Avery Bradley,SG,G,24,4,38,22.05,2.5,6.4,0.383,1.3,3.8,0.341,0.5,0.6,0.8,2.2,1.8,0.7,0.1,0.9,6.7,2020-2021
Tony Bradley,C,C,35,8,25,16.27,3.1,4.7,0.661,0.0,0.1,0.0,0.8,1.2,0.707,5.7,0.8,0.4,0.7,0.8,7.1,2020-2021
Jarrell Brantley,PF,F,21,0,38,4.47,0.7,1.6,0.455,0.3,1.0,0.35,0.1,0.1,1.0,1.0,0.3,0.1,0.1,0.1,1.9,2020-2021
Ignas Brazdeikis,SF,F,5,0,47,3.0,0.0,0.8,0.0,0.0,0.2,0.0,0.4,0.4,1.0,0.8,0.2,0.0,0.0,0.2,0.4,2020-2021
Mikal Bridges,SF,F,59,59,0,32.48,4.9,9.3,0.526,1.8,4.4,0.405,1.5,1.8,0.829,4.4,2.2,0.9,0.9,0.8,13.1,2020-2021
Miles Bridges,PF,F,59,13,0,28.43,4.4,8.7,0.505,1.6,4.1,0.404,1.3,1.6,0.848,6.1,2.1,0.7,0.7,1.6,11.7,2020-2021
Oshae Brissett,SF,F,7,2,3,13.06,2.7,4.6,0.594,0.9,2.0,0.429,1.1,1.7,0.667,2.9,0.3,0.6,0.6,0.3,7.4,2020-2021
Malcolm Brogdon,PG,G,52,52,6,35.08,8.1,17.8,0.455,2.7,6.8,0.393,2.7,3.1,0.863,5.2,6.0,0.9,0.2,2.1,21.5,2020-2021
Armoni Brooks,SG,G,8,2,4,21.11,2.8,7.1,0.386,2.2,6.1,0.367,0.1,0.4,0.333,3.6,1.0,0.5,0.1,0.8,7.9,2020-2021
Dillon Brooks,SF,F,54,54,4,29.5,6.4,15.2,0.42,1.9,5.5,0.346,2.1,2.6,0.835,2.9,2.4,1.2,0.4,1.9,16.8,2020-2021
